MUNICÍPIO,UNIDADE,ENDEREÇO,BAIRRO,TELEFONE
ADOLFO,Centro de Saúde de Adolfo,RUA MANOEL CARLOS FIGUEIREDO FERRAZ 798,CENTRO,(17) 3814-1295
ÁGUAS DA PRATA,Unidade Integrada de Saúde LEOPOLDO DE ARAUJO A PRATA,Rua: LAZARO ANSELMO RAMOS 200,AGUAS DA PRATA JD,(19) 3642-1303
ÁGUAS DE LINDÓIA,CAPS I -Dr. Firmino Cavenaghi,Rua Araci Bocault Tortelli 215,Villete Jd,(19) 3824-2420
ALFREDO MARCONDES,UNIDADE BASICA DE SAUDE III DE ALFREDO MARCONDES,Rua Das Americas 558,CENTRO,(18) 3266-1132
ALTAIR,ESF João Gonçalves,Rua Joaquim Nicesio Pereira 167,Residencial Santa Ma,(17) 38891158
ALVARES MACHADO,UBS II Alvares Machado,RUA MONSENHOR NAKAMURA 140,CENTRO,(18) 3273-4000
ÁLVARO DE CARVALHO,CS de Álvaro de Carvalho,RUA JOAQUIM BRONZE MENDES 55,CENTRO,(14) 3484-1147
ALVILÂNDIA,CS III DR Galeno Americano do Brasil,Rua Amadeu Crippa 428,SÃO RAFAEL JD,(14) 3473-1131
AMERICANA,CAPS AD NOVA VIDA,Av. de Cillo 492,Vila Pava,(19) 3405-7595
AMERICANA,CAPS Arte & Vida,R. Anhanguera 40,PAVAN VL,(19) 3461-3363
AMERICANA,UBS 06 - Dr. Carlos Chagas - Jd Ipiranga,RUA ITAMBE 236,Ipiranga JD,(19)3407-5230
AMÉRICO BRASILIENSE,Hosp Nestor Goulart Reis,Alameda Aldo Lupo 1620,CENTRO,(16) 3392-1914
AMÉRICO BRASILIENSE,Hospital Estadual Americo Brasiliense /AME,Alameda Aldo Lupo1260,Cohab,(16) 3393-7800 RAM 8026
AMÉRICO BRASILIENSE,UBS Dr. Cássio de Moraes Alves,Avenida Catanduva 350,Cohab,(16)3392-1121
AMPARO,USF América,Rua Venezuela 160,AMERICA JD,(19) 3807-2085
"AMPARO,USF Arcadas,""Rua Pedro Alves da Silva 62 "",Arcadas,(19)38071369"
AMPARO,USF Centro Pinheirinho,Rua Jofre Vieira Da Rocha 350,SÃO JOSÉ PQ,(19) 3807-4575
AMPARO,USF do Jardim Brasil,Av São Paulo 391,BRASIL JD,(19) 3807-4119
AMPARO,USF São Dimas,R. Afonso Geremias 291,Conj. Hab. Alberto Marques,(19) 3807-2071
AMPARO,USF Tres Pontes,Praca Nelson José Urbano S/N,TRES PONTES,(19)3807-6394
AMPARO,Unidade de Saúde da Familia Silvestre,Sebastião de Oliveira 167,JARDIM SILVESTRE II,(19) 3808-3885
ANDRADINA,CAPS AD ANDRADINA,Av. Bandeirantes 1447,CENTRO,(18) 3723-7287
ANDRADINA,CAPS I ANDRADINA,Av Bandeirantes 1427,CENTRO,(18) 3722-8621
ANDRADINA,UBS Dr Nelson Rodrigues Martinho - CAMO MINEIRA,RUA IGUASSU 1195 STELLA MARIS,STELLA MARIS,tel (18)3722-6813
APARECIDA D'OESTE,CS DE APARECIDA DOESTE,RUA Manoel Assumpção Vieira 428,CENTRO,(17) 3635-1174
APIAÍ,CENTRO DE SAUDE ABRAAO COUTINHO VIEIRA,RUA PRIMEIRO DE MAIO 994,CENTRO,(15) 3552-2650
ARAÇARIGUAMA,CS Municipal de Araçariguama,Alameda 19 De Maio,CENTRO,(11) 4136-3799
"ARAÇATUBA,CENTRO ESPECIALIZADO EM ATENCAO PSICOSSOCIAL CEAPS,""Rua Bahia  472 "",Mendonça Vl,(18) 3621-9327/(18) 3624-5565"
ARAÇATUBA,UBS Wanderley Vuolo Jardim TV,Av Prestes Maia,Planalto,(18) 3608-1080
ARAÇATUBA,UBS DR ALFREDO DANTAS DE SOUZA UMUARAMA,Rua dos Fundadores 3048,Umuarama,(18) 3608-5165
"ARAMINA,UBS ""Natal Abadio de Lacerda"",Rua Afonso Garcia da Silveira nº861,CENTRO,(16)3752-7030"
ARARAQUARA,PSF Bueno de Andrada,Av Adaides Fernandes,CENTRO,(16 ) 3335-3320
ARARAQUARA,PSF Jd Brasil,Av Alagoas 245,Jardim Silvânia,(16) 3337-9512
ARARAQUARA,Serviço Especial de Saúde Araraquara,R. Itália 1617,CENTRO,(16) 3334-6000
ARARAQUARA,USF Jd Pinheiros,Av Nossa Senhora Aparecida,Pinheiros  Pq,(16)3337-4517
ARARAQUARA,USF Pq das Laranjeiras Dr. Wilson Antunes Pereira,Avenida Rômulo Lupo 750,- Parque das Laranjeiras Araraquara,(16) 3335-9893
ARARAQUARA,USF Vale do Sol Dr. Euclydes Crocci,Av. Carlos de Angeli 350,Res. Vale do Sol Pq,(16) 3331-1530
ARARAQUARA,ESTRATEGIA DE SAUDE DA FAMILIA,FAZENDA MONTE ALEGRE ASSENTAMENTO I,RURAL,(16) 3348-9400
ARARAS,ESF DR EDMUNDO ULSON ARARAS,RUA ANGELO FRANCATO 393,PARQUE TIRADENTES,(19)3544-5232
ARARAS,CAPS AD ARCEU SCANAVINI ARARAS,AV WASHINGTON LUIZ 545,CENTRO,(19) 3542-4137
AREALVA,PSF II - Dr Amelio Tanganelli,Rua Jacinto R de Barros,CENTRO,(14) 3296-1359
AREIAS,UBS Areias,AV PREF BENEDITO DE OLIVEIRA RAMOS 62 CENTRO,CENTRO,(12) 3107-1157
ARIRANHA,ESF NEUSA DEL BUSSO,RUA SEBASTIANA DE FREITAS TOZZO 176,CATHARINA GALBIATI JD,NÃO POSSUI
ARTUR NOGUEIRA,USF Trabalhadores,Rua Augusto Mengue s/n,TRABALHADORES PQ DOS,(19) 3827-9130
ASSIS,Ambulatório de Especialidades de Assis,Rua Mal Deodoro 456,CENTRO,18-33024144
ASSIS,HOSPITAL REGIONAL DE ASSIS,Praça Dr SYMPHRONIO ALVES DOS SANTOS S/N,CENTRO,(18) 3302-6000
ATIBAIA,UBS Antonio de Padua Alonso - Posto do Alvinopolis Novo Atibaia,R. Padre Felíciano Grande 480,Alvinópolis,(11): 4414-1350
ATIBAIA,UNIDADE DE SAUDE SANTA CLARA - Posto de Saude do Caetetuba Atibaia,AV PROFESSOR FLAVIO PIRES DE CAMARGO 1200,CAETETUBA,4418-2059
ATIBAIA,UBS Sumico Ono - (Velho Atibaia),Praça Santo Antônio 110,Alvinópolis,(11) 4418-2077 / 2070
ATIBAIA,UBS Tanque,Estr. Velha de Bragança Paulista 2.450,Tanque,4416-1337
ATIBAIA,USF Cachoeira,Estr. da Cachoeira s/n,Cachoeira,
ATIBAIA,USF Carmelina Silveira Cintra,Estr. da Boa Vista s/n – Centro Rural,Centro Rural,4494-8170
ATIBAIA,USF do Cerejeiras,R. Washington Luis 180,Cerejeiras Jd,4418-2065
ATIBAIA,USF Jardim Imperial,R MARACANA s/n JARDIM IMPERIAL,Jardim Imperial,(11)4413-0221
ATIBAIA,USF Maracanã,R. Joaquim Cintra Sobrinho s/n,Maracanã,4415-1282
ATIBAIA,USF Rio Abaixo,Fazenda Santa Izabel s/n,Rio Abaixo,4416-4811
ATIBAIA,Centro de Atencao Psicossocial CAPS,Rua Deputadp Emilio Justo280,Vila Nova Aclimação,(11) 4412-6306
ATIBAIA,UNIDADE DE SAUDE DA FAMLIA ITAPETINGA,RUA GERANIOS 25,ITAPETINGA,(11) 4412-3919
ATIBAIA,UBS ANA CECILIA BATISTA DE SA,Rua Ouro Preto 700,Jardim  Jd,(11) 4411-6871
ATIBAIA,Centro de Atencao Psicossocial CAPS,Rua Deputadp Emilio Justo280,Nova Aclimação Vl,(11) 4412-6306
ATIBAIA,USF MAJUCA MACEDO,RUA ANTONIO DA CUNHA LEITE S/N,PORTÃO,(11) 4416-3004
ATIBAIA,UBS OSWALDO PACCINI,RUA CASTRO FAFE 201,CENTRO,(11) 4414-6500
AURIFLAMA,UBS DE AURIFLAMA,RUA ALFREDO DAINESI 5951,CENTRO,(17 )3482-9860 / 3482-1377
"AVARÉ,USF II ""Dr Fernando Hirata"",R: Mazzoni Negrao,Duilio Gambini,(14) 3731-2121"
BADY BASSITT,ESF Ana Maria Nardim Pereira,Rua José Lourenço s/n,São Lourenco,3818-5020
BARBOSA,CENTRO DE SAUDE DE BARBOSA,AV DONA RICARDINA,CENTRO,(18) 3655-1408
BARRA BONITA,Centro de Saúde II,R. Antônio Franco Pompéu 302,Vila Narcisa,(14) 3641-0225
BARRETOS,Ambulatório de Doenças Infecto Contagiosas,RUA 34 1557(Avenida 19),CENTRO,(17) 3325-4982
"BARRETOS,Hosp. Do Câncer de Barretos - Fundação Pio XI,""Rua Antenor Duarte Villela 1331 "",CENTRO,(17) 3321-6600"
BARRETOS,UBS Alberto Moreira,s/n° distrito Rua Seis,DIST ALBERTO MOREIRA,(17) 33291107
BARRETOS,UBS do Ibitu,Av Jorge Tibirica s/n,Distrito De Ibitu,(17)33265002
BARRETOS,UBS Dr Ally Alahmar,Av Cecap I s/n,BENEDITO REALINO COR,(17) 33221055
BARRETOS,UBS Dr Apolonio de Moraes e Souza,Rua L6 s/n,Los Angeles,(17) 33241477
BARRETOS,UBS Dr Arquimedes Machado,Rua Joaquim Inácio Pimenta 1010,Pimenta,(17) 33245133
BARRETOS,UBS Dr Milton Baroni,Av Sacadura Cabral s/n,Aeroporto,(17) 33245131
